PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Inhibition,Standard Deviation
RESULT_TYPE,,,,,,,FLOAT,FLOAT
RESULT_DESCR,,,,,,,Normalized percent inhibition of the primary screen at a compound concentration of 6 micromolar.,Standard deviation of the counterscreen assay derived from the normalized percent inhibition of the triplicate data for each compound.
RESULT_UNIT,,,,,,,PERCENT,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,6,
361,49826445,2951459,Inactive,0,,,-7.23,1.34042
362,49826549,2949086,Inactive,0,,,-0.51,1.22413
363,49826802,1949127,Inactive,11,,,10.9,0.930151
364,49826923,17379494,Inactive,0,,,-2.19,2.60344
365,49826994,1295575,Inactive,0,,,-1.2,1.90654
366,49828046,24819855,Inactive,5,,,4.62,0.576747
367,49828469,24819986,Active,27,,,25.54,0.419477
368,49828536,6236746,Inactive,3,,,2.84,0.417396
369,49828715,24820042,Inactive,12,,,11.96,1.45387
370,49828719,135484279,Inactive,3,,,2.89,1.38756
371,49829348,24820087,Inactive,12,,,11.97,0.382582
372,50085563,2814640,Inactive,0,,,-3.2,0.880019
373,50085624,2808586,Inactive,1,,,1.11,1.96981
374,50086381,9611292,Inactive,0,,,0.21,0.388526
375,50086393,2813012,Inactive,3,,,3.56,1.02715
376,50086403,2815848,Inactive,3,,,2.83,2.16332
377,50086550,2814665,Inactive,0,,,-1.82,0.621353
378,51086478,16825531,Inactive,0,,,-1.05,1.8268
379,51090130,16807543,Inactive,0,,,-2.75,1.05623
380,51090162,16812389,Inactive,0,,,-0.44,1.25329
